Gene1,Gene2
Msx1,Ccnb2
Msx1,Ccnd1
Msx1,Cdhr1
Msx1,Cep120
Msx1,Cherp
Msx1,Chrm2
Msx1,Chst1
Msx1,Cisd1
Msx1,Cltc
Msx1,Col27a1
Msx1,Cpeb4
Msx1,Cpne9
Msx1,Crem
Msx1,Crls1
Msx1,Ctxn3
Msx1,Cul9
Msx1,Cyp39a1
Msx1,D11wsu47e
Msx1,D830032e09rik
Msx1,Dab1
Msx1,Dab2
Msx1,Dak
Msx1,Dcdc2c
Msx1,Dctpp1
Msx1,Ddx51
Msx1,Dixdc1
Msx1,Dlg3
Msx1,Dlx2
Msx1,Dmrta2
Msx1,Dnajc22
Msx1,Dusp27
Msx1,E030018b13rik
Msx1,E130304i02rik
Msx1,Ebf3
Msx1,Efnb3
Msx1,Efr3b
Msx1,Eif1ax
Msx1,Elavl2
Msx1,Elmod3
Msx1,En1
Msx1,Evx2
Msx1,Ezh2
Msx1,Fam189b
Msx1,Fam18a
Msx1,Fam196a
Msx1,Fam20b
Msx1,Fam72a
Msx1,Fars2
Msx1,Fermt2
Msx1,Fermt3
Msx1,Fgf17
Msx1,Fgf4
Msx1,Fgg
Msx1,Fig4
Msx1,Flrt2
Msx1,Foxg1
Msx1,Fscn2
Msx1,Gbe1
Msx1,Gm1653
Msx1,Gm19395
Msx1,Gm3279
Msx1,Gm3414
Msx1,Gm5547
Msx1,Gm614
Msx1,Gm6812
Msx1,Golga1
Msx1,Gpr12
Msx1,Gpr174
Msx1,Grik5
Msx1,Grk6
Msx1,Gtpbp2
Msx1,Hand2
Msx1,Hcfc1r1
Msx1,Hectd3
Msx1,Helq
Msx1,Herpud2
Msx1,Hist1h1a
Msx1,Hist1h1b
Msx1,Hist1h1e
Msx1,Hivep2
Msx1,Hmgcl
Msx1,Hotair
Msx1,Hoxa5
Msx1,Hsd3b7
Msx1,Hspa4
Msx1,Hspa4l
Msx1,Hspb6
Msx1,Ick
Msx1,Id1
Msx1,Idh1
Msx1,Il16
Msx1,Il1rapl1
Msx1,Il2rg
Msx1,Ing3
Msx1,Inhba
Msx1,Jkamp
Msx1,Kcnk4
Msx1,Kctd12
Msx1,Kctd18
Msx1,Kctd5
Msx1,Klk11
Msx1,Lcn10
Msx1,Lhx2
Msx1,Lhx6
Msx1,Lima1
Msx1,Lin28a
Msx1,Lingo4
Msx1,Loc106740
Msx1,Lrp12
Msx1,Lrrc14
Msx1,Lrrc20
Msx1,Lrrtm2
Msx1,Lsm14b
Msx1,Ly75
Msx1,Maf
Msx1,Maged1
Msx1,Map3k2
Msx1,Marcks
Msx1,Mc1r
Msx1,Mc3r
Msx1,Mc4r
Msx1,Mc5r
Msx1,Mcm9
Msx1,Mcts1
Msx1,Mecom
Msx1,Mir1197
Msx1,Mir124a-2
Msx1,Mir1898
Msx1,Mir1900
Msx1,Mir1903
Msx1,Mir1940
Msx1,Mir23b
Msx1,Mir24-1
Msx1,Mir27b
Msx1,Mir299
Msx1,Mir323
Msx1,Mir329
Msx1,Mir380
Msx1,Mir411
Msx1,Mir494
Msx1,Mir5098
Msx1,Mir5129
Msx1,Mir5130
Msx1,Mir679
Msx1,Mir758
Msx1,Mitf
Msx1,Mll1
Msx1,Mllt6
Msx1,Msx1
Msx1,Mybl1
Msx1,Myo1c
Msx1,Myod1
Msx1,Myt1
Msx1,Nap1l1
Msx1,Ndn
Msx1,Nfia
Msx1,Nfil3
Msx1,Nfkbie
Msx1,Nodal
Msx1,Nol4
Msx1,Nr4a2
Msx1,Nrp1
Msx1,Odam
Msx1,Olfr3
Msx1,Osbp
Msx1,Osgep
Msx1,Osr2
Msx1,Otof
Msx1,Pabpc6
Msx1,Papolb
Msx1,Pax9
Msx1,Pcdh18
Msx1,Pcdh9
Msx1,Pcdhb3
Msx1,Pcdhga7
Msx1,Pcdhgb4
Msx1,Pcgf2
Msx1,Pcsk1
Msx1,Pde10a
Msx1,Pde1c
Msx1,Peli1
Msx1,Pex5l
Msx1,Pfdn2
Msx1,Pitx2
Msx1,Pkhd1
Msx1,Plb1
Msx1,Plcg1
Msx1,Plekha5
Msx1,Pnp
Msx1,Pou2f1
Msx1,Prkag2
Msx1,Prkra
Msx1,Prrxl1
Msx1,Ptchd2
Msx1,Ptf1a
Msx1,Ptpn5
Msx1,Pyy
Msx1,Rap1gap
Msx1,Reep4
Msx1,Rictor
Msx1,Rnf2
Msx1,Rnf207
Msx1,Rplp2-ps1
Msx1,Rpp21
Msx1,Rrp8
Msx1,Rttn
Msx1,Rybp
Msx1,S100z
Msx1,Sall1
Msx1,Sall3
Msx1,Samd1
Msx1,Scml4
Msx1,Scrt1
Msx1,Sema6a
Msx1,Senp8
Msx1,Serinc2
Msx1,Setd7
Msx1,Sftpa1
Msx1,Sipa1
Msx1,Sipa1l1
Msx1,Six3os1
Msx1,Slc25a17
Msx1,Slc35e1
Msx1,Slc6a14
Msx1,Sln
Msx1,Smagp
Msx1,Snd1
Msx1,Snora47
Msx1,Snrnp40
Msx1,Snrpc
Msx1,Sox3
Msx1,Spag16
Msx1,Spats1
Msx1,Speg
Msx1,Spg11
Msx1,Spink10
Msx1,Stard5
Msx1,Sytl3
Msx1,Taf5
Msx1,Tagap
Msx1,Tatdn1
Msx1,Tbp
Msx1,Tcf7l1
Msx1,Thsd7b
Msx1,Tle4
Msx1,Tmem132e
Msx1,Tmem238
Msx1,Tmem55a
Msx1,Tmem59l
Msx1,Tmem64
Msx1,Tnf
Msx1,Tnfaip2
Msx1,Tnrc18
Msx1,Trerf1
Msx1,Trim42
Msx1,Trp53
Msx1,Tspan6
Msx1,Ttc24
Msx1,Tut1
Msx1,Upp2
Msx1,Usp40
Msx1,Vasn
Msx1,Vcpip1
Msx1,Vsnl1
Msx1,Wdr11
Msx1,Wfikkn1
Msx1,Wnt1
Msx1,Wnt10a
Msx1,Zbed3
Msx1,Zbtb8a
Msx1,Zfand5
Msx1,Zfp703
Msx1,Zg16
Msx1,Zmynd8
Msx1,Zpld1
Msx2,Ccnd1
Msx2,Foxn2
Msx2,Hdac1
Msx2,Maged1
Msx2,Ndn
Msx2,Pja1
Msx2,Pthlh
Msx2,Spen
Msx2,Tbx2
Msx2,Twist1
Msx2,Ubc
Msx2,Yy1
Mta1,Chd7
Mta1,Esrrb
Mta1,Fosb
Mta1,Hdac1
Mta1,Hdac2
Mta1,Mbd3
Mta1,Mta2
Mta1,Nanog
Mta1,Pou5f1
Mta1,Rbbp7
Mta1,Rela
Mta1,Rnf2
Mta1,Runx1
Mta1,Sall4
Mta1,Set
Mta1,Sh3gl3
Mta1,Sox2
Mta1,Tfcp2l1
Mta1,Tgm2
Mta1,Zfpm1
Mta2,Cbx5
Mta2,Chd4
Mta2,Chd7
Mta2,Csnk2a1
Mta2,Esrrb
Mta2,Gata1
Mta2,Gatad2a
Mta2,Hdac1
Mta2,Hdac10
Mta2,Hdac11
Mta2,Hdac2
Mta2,Hdac4
Mta2,Hdac6
Mta2,Hdac7
Mta2,Hdac8
Mta2,Hr
Mta2,Ing2
Mta2,L3mbtl2
Mta2,Mbd2
Mta2,Mbd3
Mta2,Morf4l1
Mta2,Mta1
Mta2,Mta2
Mta2,Mta3
Mta2,Nanog
Mta2,Phf12
Mta2,Phf21a
Mta2,Pou5f1
Mta2,Rbbp4
Mta2,Rbbp7
Mta2,Runx1
Mta2,Sall1
Mta2,Sall4
Mta2,Sap18
Mta2,Sap30
Mta2,Satb2
Mta2,Sox2
Mta2,Suds3
Mta2,Tfcp2l1
Mta2,Zfp217
Mta2,Zfpm1
Mta3,Cbx5
Mta3,Chd5
Mta3,Csnk2a1
Mta3,Esrrb
Mta3,Gatad2a
Mta3,Hdac1
Mta3,Hdac10
Mta3,Hdac11
Mta3,Hdac2
Mta3,Hdac4
Mta3,Hdac6
Mta3,Hdac7
Mta3,Hdac8
Mta3,Hr
Mta3,Ing2
Mta3,L3mbtl2
Mta3,Mbd2
Mta3,Mbd3
Mta3,Morf4l1
Mta3,Mta2
Mta3,Phf12
Mta3,Phf21a
Mta3,Pou5f1
Mta3,Rad21
Mta3,Rbbp4
Mta3,Rbbp7
Mta3,Rec8
Mta3,Sall1
Mta3,Sall4
Mta3,Sap18
Mta3,Sap30
Mta3,Satb2
Mta3,Sgol1
Mta3,Sgol2
Mta3,Smc1a
Mta3,Smc1b
Mta3,Smc3
Mta3,Stag3
Mta3,Suds3
Mta3,Tfcp2l1
Mta3,Zfp217
Mtf1,Lass2
Mtf1,Nr4a3
Mtf1,Rnf14
Mtf2,Bc018507
Mtf2,E130012a19rik
Mtf2,Eed
Mtf2,Ell
Mtf2,Ewsr1
Mtf2,Ezh1
Mtf2,Ezh2
Mtf2,Jarid2
Mtf2,Nap1l2
Mtf2,Rbbp4
Mtf2,Stk38
Mtf2,Suz12
Mtf2,Trim35
Mxd1,Max
Mxd1,Sin3b
Mxd3,Max
Mxd4,Max
Mxi1,Max
Mxi1,Sin3b
Mxi1,Smad1
Mxi1,Smad5
Mxi1,Smad9
Mxi1,Smarca5
Myb,0610030e20rik
Myb,0610037p05rik
Myb,1110001j03rik
Myb,1110012j17rik
Myb,1190002n15rik
Myb,1200011m11rik
Myb,1300018j18rik
Myb,1500011h22rik
Myb,1500016l03rik
Myb,1700001p01rik
Myb,1700003g18rik
Myb,1700012d01rik
Myb,1700021c14rik
Myb,1700023e05rik
Myb,1700025g04rik
Myb,1700029f09rik
Myb,1700034p13rik
Myb,1700049e15rik
Myb,1700052n19rik
Myb,1700097n02rik
Myb,1700111n16rik
Myb,1700125g02rik
Myb,1810019d21rik
Myb,1810027o10rik
Myb,1810064f22rik
Myb,2010107e04rik
Myb,2210416o15rik
Myb,2310002j15rik
Myb,2410006h16rik
Myb,2410042d21rik
Myb,2500003m10rik
Myb,2610017i09rik
Myb,2610027k06rik
Myb,2610203c20rik
Myb,2610301g19rik
Myb,2810006k23rik
Myb,2810021b07rik
Myb,2810032g03rik
Myb,2810428i15rik
Myb,2900092e17rik
Myb,3110039m20rik
Myb,3300005d01rik
Myb,4833418n02rik
Myb,4833427g06rik
Myb,4921511h03rik
Myb,4921515j06rik
Myb,4930413g21rik
Myb,4930427a07rik
Myb,4930430f08rik
Myb,4930509e16rik
Myb,4930511m11rik
Myb,4930525d18rik
Myb,4930525f21rik
Myb,4930568k20rik
Myb,4930579g24rik
Myb,4930583k01rik
Myb,4931417g12rik
Myb,4931440j10rik
Myb,4932415g12rik
Myb,4933427g17rik
Myb,4933430i17rik
Myb,5033411d12rik
Myb,5730408k05rik
Myb,5730455p16rik
Myb,5730460c07rik
Myb,5830416p10rik
Myb,5830418k08rik
Myb,6030443j06rik
Myb,6330409n04rik
Myb,6330418k02rik
Myb,6330503k22rik
Myb,8430406i07rik
Myb,8430427h17rik
Myb,9230116n13rik
Myb,9530048j24rik
Myb,9930021d14rik
Myb,9930021j03rik
Myb,A330009n23rik
Myb,A330032b11rik
Myb,A630001g21rik
Myb,A830052d11rik
Myb,Abcd1
Myb,Abhd1
Myb,Abhd15
Myb,Ace
Myb,Acin1
Myb,Acot7
Myb,Acsl3
Myb,Acsl6
Myb,Acta2
Myb,Actl7b
Myb,Acyp1
Myb,Adamts9
Myb,Adcy7
Myb,Adk
Myb,Adra1d
Myb,Agap2
Myb,Agfg2
Myb,Aggf1
Myb,Agps
Myb,Ai314831
Myb,Ai646519
Myb,Ai854517
Myb,Akirin1
Myb,Akirin2
Myb,Alad
Myb,Aldh6a1
Myb,Aldoa
Myb,Alkbh4
Myb,Alkbh8
Myb,Amigo3
Myb,Amn1
Myb,Ankrd13d
Myb,Ankrd17
Myb,Anln
Myb,Anxa6
Myb,Ap1g2
Myb,Ap4m1
Myb,Aplp2
Myb,Arhgap25
Myb,Arhgap26
Myb,Arhgap4
Myb,Arl6ip1
Myb,Asf1b
Myb,Ash2l
Myb,Asns
Myb,Aspdh
Myb,Asphd2
Myb,Asrgl1
Myb,Asxl2
Myb,Atad1
Myb,Atf5
Myb,Atp1b2
Myb,Atp2b3
Myb,Atp5l
Myb,Atp6v0e
Myb,Atp8b5
Myb,Aup1
Myb,Aurka
Myb,Aw554918
Myb,B230217o12rik
Myb,B230312a22rik
Myb,B3galt2
Myb,B4galnt1
Myb,B930041f14rik
Myb,Bak1
Myb,Bc004004
Myb,Bc031781
Myb,Bc032203
Myb,Bcap31
Myb,Bcl11a
Myb,Bcl2
Myb,Bcl2l12
Myb,Bcor
Myb,Bex6
Myb,Bmp1
Myb,Bmp3
Mybbp1a,Aimp2
Mybbp1a,Aire
Mybbp1a,Bop1
Mybbp1a,Bysl
Mybbp1a,Casp7
Mybbp1a,Cdk9
Mybbp1a,Cirh1a
Mybbp1a,Cry1
Mybbp1a,Ddx21
Mybbp1a,Dmrt2
Mybbp1a,Eed
Mybbp1a,Ftsj3
Mybbp1a,Gart
Mybbp1a,Gnl3
Mybbp1a,Hdac1
Mybbp1a,Hdac2
Mybbp1a,L3mbtl2
Mybbp1a,Lyar
Mybbp1a,Myod1
Mybbp1a,Nacc1
Mybbp1a,Nanog
Mybbp1a,Nat10
Mybbp1a,Nfe2
Mybbp1a,Noc4l
Mybbp1a,Nop2
Mybbp1a,Nop56
Mybbp1a,Pa2g4
Mybbp1a,Pknox1
Mybbp1a,Poli
Mybbp1a,Polr1a
Mybbp1a,Ppan
Mybbp1a,Ppargc1a
Mybbp1a,Prmt5
Mybbp1a,Pwp2
Mybbp1a,Rnf2
Mybbp1a,Rrp12
Mybbp1a,Rrp1b
Mybbp1a,Ruvbl1
Mybbp1a,Sdad1
Mybbp1a,Smarca2
Mybbp1a,Smarca4
Mybbp1a,Srm
Mybbp1a,Wdr43
Mybbp1a,Wdr74
Myb,Brd8
Myb,Brf1
Myb,Bscl2
Myb,Btbd3
Myb,Btbd9
Myb,C030006k11rik
Myb,C130026l21rik
Myb,C330018d20rik
Myb,C6
Myb,C87436
Myb,Cacna1g
Myb,Cacng2
Myb,Calm3
Myb,Camk2a
Myb,Cand1
Myb,Caprin1
Myb,Capza1
Myb,Casc4
Myb,Caskin2
Myb,Casp9
Myb,Catsperg1
Myb,Cbfa2t3
Myb,Cbl
Myb,Cbll1
Myb,Cbx4
Myb,Ccar1
Myb,Ccdc115
Myb,Ccdc147
Myb,Ccdc21
Myb,Ccdc23
Myb,Ccdc41
Myb,Ccdc45
Myb,Ccdc56
Myb,Ccdc61
Myb,Ccdc87
Myb,Ccnd2
Myb,Ccne1
Myb,Cct3
Myb,Cd3eap
Myb,Cd4
Myb,Cd5
Myb,Cdc20
Myb,Cdc37l1
Myb,Cdc42bpa
Myb,Cdc42bpb
Myb,Cdc42ep4
Myb,Cdca2
Myb,Cdca8
Myb,Cdh11
Myb,Cdk1
Myb,Cdkn1b
Myb,Cdkn2aip
Myb,Cdkn2b
Myb,Cdkn2c
Myb,Cdkn3
Myb,Cela2a
Myb,Celf2
Myb,Celf4
Myb,Cenpp
Myb,Cep70
Myb,Cep97
Myb,Cggbp1
Myb,Chmp2a
Myb,Cirh1a
Myb,Cit
Myb,Cited4
Myb,Ckap2l
Myb,Cldn8
Myb,Clic3
Myb,Clint1
Myb,Clk1
Myb,Cltc
Myb,Cnot6l
Myb,Cnot7
Myb,Col1a1
Myb,Cox4i1
Myb,Cox4nb
Myb,Cpeb2
Myb,Cpsf3
Myb,Crat
Myb,Creb1
Myb,Crebbp
Myb,Crlf1
Myb,Crtc2
Myb,Cryzl1
Myb,Csnk1d
Myb,Cstf1
Myb,Ctdnep1
Myb,Ctrl
Myb,Cuedc1
Myb,Cyp46a1
Myb,Cyth2
Myb,D17wsu92e
Myb,D4ertd22e
Myb,D4wsu53e
Myb,D830031n03rik
Myb,D930015m05rik
Myb,D930028m14rik
Myb,Dalrd3
Myb,Dazap1
Myb,Dcaf15
Myb,Dcaf6
Myb,Dclk2
Myb,Ddit3
Myb,Ddx39
Myb,Ddx5
Myb,Ddx6
Myb,Dffb
Myb,Dgat1
Myb,Dgcr2
Myb,Dgkz
Myb,Dhh
Myb,Dhx30
Myb,Dhx58
Myb,Dhx8
Myb,Diablo
Myb,Dio3
Myb,Dlc1
Myb,Dlx3
Myb,Dmtf1
Myb,Dmwd
Myb,Dnajb1
Myb,Dnajb14
Myb,Dnajb5
Myb,Dnajc1
Myb,Dnajc10
Myb,Dnd1
Myb,Dner
Myb,Dock3
Myb,Dpy19l4
Myb,Dscam
Myb,Dus2l
Myb,Dus3l
Myb,Dvl2
Myb,Dync1li2
Myb,E130303b06rik
Myb,E130309d14rik
Myb,E130317f20rik
Myb,E230016k23rik
Myb,E2f7
Myb,E330013p06
Myb,Ear1
Myb,Ear12
Myb,Ear2
Myb,Ear3
Myb,Edc4
Myb,Eed
Myb,Eef2
Myb,Eef2k
Myb,Egln1
Myb,Ehbp1l1
Myb,Eid2b
Myb,Eif2ak2
Myb,Eif2c1
Myb,Eif5a
Myb,Elane
Myb,Eml3
Myb,Emr1
Myb,Eno3
Myb,Enox2
Myb,Ep300
Myb,Ep400
Myb,Epb4.9
Myb,Epo
Myb,Epx
Myb,Erbb3
Myb,Ercc6l
Myb,Erf
Myb,Ergic2
Myb,Erh
Myb,Eri3
Myb,Erlec1
Myb,Erlin1
Myb,Ermap
Myb,Ermp1
Myb,Etf1
Myb,Ethe1
Myb,Ewsr1
Myb,Ezh2
Myb,Faf2
Myb,Fam100a
Myb,Fam102b
Myb,Fam116a
Myb,Fam117a
Myb,Fam126a
Myb,Fam134a
Myb,Fam13b
Myb,Fam160a2
Myb,Fam179b
Myb,Fam192a
Myb,Fam203a
Myb,Fam20b
Myb,Fam26f
Myb,Fam36a
Myb,Fam38a
Myb,Fam46d
Myb,Fam48a
Myb,Fam53b
Myb,Fam63a
Myb,Fam83g
Myb,Fam84a
Myb,Fam89b
Myb,Fance
Myb,Fastkd5
Myb,Fbxl19
Myb,Fbxo11
Myb,Fbxo24
Myb,Fbxo34
Myb,Fbxo43
Myb,Fem1c
Myb,Fgf12
Myb,Fgf4
Myb,Fgfbp3
Myb,Fgfr1op
Myb,Fip1l1
Myb,Fkbp15
Myb,Flot2
Myb,Frat2
Myb,Frmpd1
Myb,Fyttd1
Myb,Fzd5
Myb,Gabarap
Myb,Gabrb3
Myb,Gad1
Myb,Galnt4
Myb,Ganab
Myb,Gap43
Myb,Gata1
Myb,Gemin6
Myb,Ggt6
Myb,Git1
Myb,Gk2
Myb,Glcci1
Myb,Gm10432
Myb,Gm10549
Myb,Gm13363
Myb,Gm13476
Myb,Gm14023
Myb,Gm14169
Myb,Gm15471
Myb,Gm16381
Myb,Gm16532
Myb,Gm16793
Myb,Gm19557
Myb,Gm3219
Myb,Gm3230
Myb,Gm3279
Myb,Gm3417
Myb,Gm3448
Myb,Gm505
Myb,Gm5420
Myb,Gm608
Myb,Gm614
Myb,Gm962
Myb,Gm9994
Myb,Gmfg
Myb,Gml
Myb,Gmpr2
Myb,Gna12
Myb,Golga2
Myb,Gpbp1l1
Myb,Gpc4
Myb,Gpx1
Myb,Grip2
Myb,Grk4
Myb,Grk5
Myb,Gse1
Myb,Gsg1l
Myb,Gsk3b
Myb,Gstm1
Myb,Gstt2
Myb,Gtf2h5
Myb,Gtf3c6
Myb,Gtsf1
Myb,Gys1
Myb,H1fx
Myb,H2afv
Myb,H2afx
Myb,H2afy3
Myb,Hapln1
Myb,Hdc
Myb,Hdlbp
Myb,Hectd3
Myb,Hemt1
Myb,Hes1
Myb,Hes5
Myb,Hexim1
Myb,Hhex
Myb,Hipk2
Myb,Hist1h1a
Myb,Hist1h2bc
Myb,Hist1h2bh
Myb,Hist4h4
Myb,Hmga1
Myb,Hmga1-rs1
Myb,Hmx2
Myb,Hnf1a
Myb,Hnrnpf
Myb,Hnrnpu
Myb,Hoxb3
Myb,Hoxb6
Myb,Hoxc5
Myb,Hoxc6
Myb,Hpcal1
Myb,Hr
Myb,Hs3st4
Myb,Hsp90aa1
Myb,Hyls1
Myb,Idh3a
Myb,Idh3g
Myb,Ifngr2
Myb,Ift140
Myb,Ift74
Myb,Igbp1
Myb,Igfbpl1
Myb,Il3ra
Myb,Ilf2
Myb,Impad1
Myb,Ino80
Myb,Insig1
Myb,Ints7
Myb,Ip6k1
Myb,Ipo4
Myb,Irgm1
Myb,Itch
Myb,Itga10
Myb,Itpka
Myb,Jarid2
Myb,Jmjd1c
Myb,Jmjd5
Myb,Josd1
Myb,Kazald1
Myb,Kbtbd3
Myb,Kbtbd8
Myb,Kcnab3
Myb,Kcnd3
Myb,Kcne3
Myb,Kcnj2
Myb,Kcnj3
Myb,Kcnma1
Myb,Kcns3
Myb,Kctd15
Myb,Kctd7
Myb,Kctd9
Myb,Kdm3b
Myb,Kdm4d
Myb,Kdm6b
Myb,Kif1c
Myb,Kif3b
Myb,Kifc2
Myb,Kis2
Myb,Klb
Myb,Klhdc3
Myb,Klhl21
Myb,Kri1
Myb,Krt25
Myb,Krtcap2
Mybl1,Ccna1
Mybl2,Aw146020
Mybl2,Ccnd1
Mybl2,Cdca5
Mybl2,Cdk1
Mybl2,Col1a1
Mybl2,E2f1
Mybl2,E2f4
Mybl2,E2f5
Mybl2,Esrrb
Mybl2,Fgf4
Mybl2,Ikzf2
Mybl2,Lox
Mybl2,Nr0b1
Mybl2,Pla2g4a
Mybl2,Rbl1
Mybl2,Rbl2
Mybl2,Tfcp2l1
Mybl2,Tfdp2
Mybl2,Tk1
Mybl2,Tpx2
Mybl2,Uchl1
Mybl2,Uhrf1
Myb,L3mbtl2
Myb,Larp1
Myb,Lass2
Myb,Lcat
Myb,Ldhd
Myb,Lef1
Myb,Lemd1
Myb,Lhb
Myb,Lhx9
Myb,Lin52
Myb,Lin54
Myb,Lmnb1
Myb,Lmo2
Myb,Lmo4
Myb,Lnpep
Myb,Loc434825
Myb,Loc666331
Myb,Loxl3
Myb,Lrfn4
Myb,Lrrc10
Myb,Lrrc10b
Myb,Lrrc24
Myb,Lrrc4
Myb,Lrrc56
Myb,Ltbp4
Myb,Luc7l3
Myb,Lyar
Myb,Mab21l1
Myb,Maged1
Myb,Map3k6
Myb,Map4k1
Myb,Mapk3
Myb,Mapk8
Myb,Mapk8ip1
Myb,Mark2
Myb,Mbd3
Myb,Mbd6
Myb,Mcm7
Myb,Mdc1
Myb,Med12
Myb,Med26
Myb,Med7
Myb,Med8
Myb,Mef2d
Myb,Meg3
Myb,Meox2
Myb,Mepce
Myb,Mettl6
Myb,Mettl7a1
Myb,Mfap1a
Myb,Mfn1
Myb,Mir101b
Myb,Mir106a
Myb,Mir125b-1
Myb,Mir130a
Myb,Mir142
Myb,Mir17
Myb,Mir17hg
Myb,Mir18
Myb,Mir181c
Myb,Mir181d
Myb,Mir18b
Myb,Mir1900
Myb,Mir1906-1
Myb,Mir1906-2
Myb,Mir191
Myb,Mir1931
Myb,Mir195
Myb,Mir1956
Myb,Mir1967
Myb,Mir196b
Myb,Mir19a
Myb,Mir19b-1
Myb,Mir19b-2
Myb,Mir20a
Myb,Mir20b
Myb,Mir297c
Myb,Mir3071
Myb,Mir34b
Myb,Mir34c
Myb,Mir363
Myb,Mir3967
Myb,Mir421
Myb,Mir425
Myb,Mir491
Myb,Mir497
Myb,Mir5046
Myb,Mir5098
Myb,Mir5136
Myb,Mir615
Myb,Mir671
Myb,Mir9-2
Myb,Mir92-1
Myb,Mir92-2
Myb,Mir9-3
Myb,Mll2
Myb,Mllt10
Myb,Mmachc
Myb,Mmp23
Myb,Morf4l1
Myb,Morf4l2
Myb,Morn1
Myb,Mov10l1
Myb,Mpo
Myb,Mpzl2
Myb,Mrfap1
Myb,Mrpl18
Myb,Mrpl22
Myb,Mrpl45
Myb,Mrpl52
Myb,Mrs2
Myb,Mtch2
Myb,Mtf2
Myb,Mtmr3
Myb,Mybbp1a
Myb,Myl6
Myb,Myl6b
Myb,Myo9a
Myb,Myst2
Myb,Nab2
Myb,Nags
Myb,Nanos3
Myb,Ncdn
Myb,Ndufaf3
Myb,Neat1
Myb,Nebl
Myb,Nedd8
Myb,Nek2
Myb,Neurog3
Myb,Nfe2l1
Myb,Nfe2l2
Myb,Nfix
Myb,Nfxl1
Myb,Nicn1
Myb,Nip7
Myb,Nkx2-2
Myb,Nkx2-4
Myb,Nkx6-2
Myb,Nlk
Myb,Nme3
Myb,Nme7
Myb,Noc4l
Myb,Nog
Myb,Nphs1
Myb,Npr2
Myb,Nprl2
Myb,Nr2c2
Myb,Nr2f2
Myb,Nr4a3
Myb,Nras
Myb,Nrxn2
Myb,Nsl1
Myb,Nt5c2
Myb,Nudt18
Myb,Nudt21
Myb,Nuf2
Myb,Nup153
Myb,Nup50
Myb,Nup62
Myb,Nup62-il4i1
Myb,Nup98
Myb,Oaf
Myb,Oaz2
Myb,Obsl1
Myb,Ocel1
Myb,Odf2
Myb,Ogfod1
Myb,Olfr279
Myb,Olfr414
Myb,Olig2
Myb,Onecut2
Myb,Opa3
Myb,Orai3
Myb,Ost4
Myb,Otud1
Myb,Otud6b
Myb,Otx1
Myb,Ovol2
Myb,Pabpc1
Myb,Pacsin1
Myb,Pacsin2
Myb,Pafah1b1
Myb,Pak1
Myb,Paqr4
Myb,Parp6
Myb,Pax5
Myb,Pbsn
Myb,Pbx4
Myb,Pcdhga12
Myb,Pcdhgb8
Myb,Pcgf2
Myb,Pcm1
Myb,Pcnt
Myb,Pdcd4
Myb,Pde4dip
Myb,Pdyn
Myb,Pdzd7
Myb,Peli1
Myb,Penk
Myb,Pex12
Myb,Pex13
Myb,Pfn2
Myb,Pgm5
Myb,Pgp
Myb,Phc1
Myb,Phf23
Myb,Phf7
Myb,Phrf1
Myb,Picalm
Myb,Piga
Myb,Pigv
Myb,Pik3ap1
Myb,Pink1
Myb,Pip5k1a
Myb,Pitpnm3
Myb,Pitx3
Myb,Pla2g2a
Myb,Pla2g4a
Myb,Pla2g5
Myb,Plekhf2
Myb,Plekhg2
Myb,Plekhg3
Myb,Plod1
Myb,Plscr2
Myb,Plxnb3
Myb,Pmel
Myb,Pno1
Myb,Poc1b
Myb,Pogz
Myb,Polr2a
Myb,Ppan
Myb,Ppia
Myb,Ppig
Myb,Ppip5k1
Myb,Ppm1b
Myb,Ppm1g
Myb,Ppp2r4
Myb,Ppp2r5d
Myb,Ppp3ca
Myb,Ppp5c
Myb,Pprc1
Myb,Ppt2
Myb,Prdx5
Myb,Prkce
Myb,Prkcsh
Myb,Prkra
Myb,Prmt5
Myb,Proca1
Myb,Prpf19
Myb,Prpf38b
Myb,Prr19
Myb,Prr24
Myb,Prr7
Myb,Prrc2a
Myb,Prrt2
Myb,Prss34
Myb,Prtg
Myb,Psmb1
Myb,Psmb3
Myb,Psmb6
Myb,Psme2
Myb,Psph
Myb,Ptbp1
Myb,Ptf1a
Myb,Ptgir
Myb,Ptgs1
Myb,Pth1r
Myb,Ptp4a1
Myb,Ptpn5
Myb,Ptpn7
Myb,Ptprn
Myb,Ptprv
Myb,Ptrh1
Myb,Pum2
Myb,Pwwp2b
Myb,Rab5b
Myb,Rabgap1l
Myb,Rac2
Myb,Rad54l
Myb,Raf1
Myb,Ramp1
Myb,Ranbp2
Myb,Rapgef2
Myb,Rapsn
Myb,Rarb
Myb,Rarg
Myb,Rasa3
Myb,Rasgrp2
Myb,Rassf1
Myb,Rb1cc1
Myb,Rbbp4
Myb,Rbm14
Myb,Rbm15
Myb,Rbm38
Myb,Rbm4b
Myb,Rbmx
Myb,Rbpj
Myb,Rcan2
Myb,Rcl1
Myb,Rdh11
Myb,Rdx
Myb,Rexo2
Myb,Rg9mtd1
Myb,Rgs7
Myb,Rhbdd2
Myb,Rhbdd3
Myb,Rhod
Myb,Ric8b
Myb,Rilpl2
Myb,Rimklb
Myb,Rin1
Myb,Rlf
Myb,Rnf220
Myb,Rnf38
Myb,Rock1
Myb,Romo1
